Row Number,Delta Ask Size,Delta Ask Price,Delta Bid Size,Delta Bid Price,Delta Average of Bid and Ask,Timestamp (EST)
0,0,0,0,0,0,2024-08-05 09:30 AM
1954,23,6.2,61,5.72,5.96,2024-08-05 09:31 AM
1953,0,0.24,-38,0.21,0.23,2024-08-05 09:32 AM
1952,-11,-0.5,-18,-0.23,-0.37,2024-08-05 09:33 AM
1951,10,0.01,13,-0.25,-0.12,2024-08-05 09:34 AM
1950,-3,-0.21,1,-0.12,-0.16,2024-08-05 09:35 AM
1949,-1,-0.1,0,-0.03,-0.07,2024-08-05 09:36 AM
1948,-2,0.21,0,0.22,0.21,2024-08-05 09:37 AM
1947,7,-0.08,4,-0.03,-0.05,2024-08-05 09:38 AM
1946,6,-0.11,0,-0.01,-0.06,2024-08-05 09:39 AM
1945,-24,0.29,33,0.22,0.26,2024-08-05 09:40 AM
1944,71,-0.42,4,-0.45,-0.44,2024-08-05 09:41 AM
1943,2,-0.2,14,-0.2,-0.2,2024-08-05 09:42 AM
1942,-22,-0.04,-18,-0.04,-0.04,2024-08-05 09:43 AM
1941,0,0.23,-55,0.24,0.23,2024-08-05 09:44 AM
1940,-46,0.32,9,-0.2,0.07,2024-08-05 09:45 AM
1939,68,0.18,-8,0.78,0.47,2024-08-05 09:46 AM
1938,-22,-0.02,124,-0.15,-0.08,2024-08-05 09:47 AM
1937,-50,-0.06,-70,0.0,-0.03,2024-08-05 09:48 AM
1936,71,0.04,-55,0.04,0.04,2024-08-05 09:49 AM
1935,-21,0.02,0,0.08,0.05,2024-08-05 09:50 AM
1934,-54,0.0,77,-0.08,-0.04,2024-08-05 09:51 AM
1933,44,-0.08,-35,-0.01,-0.05,2024-08-05 09:52 AM
1932,-3,-0.04,-31,-0.03,-0.03,2024-08-05 09:53 AM
1931,-42,-0.38,-5,-0.33,-0.36,2024-08-05 09:54 AM
1930,42,0.08,36,0.04,0.06,2024-08-05 09:55 AM
1929,3,-0.12,3,-0.12,-0.11,2024-08-05 09:56 AM
1928,-3,0.2,-3,0.2,0.19,2024-08-05 09:57 AM
1927,16,-0.07,1,-0.07,-0.06,2024-08-05 09:58 AM
1926,-16,0.05,12,0.04,0.04,2024-08-05 09:59 AM
1925,-33,0.65,-40,-0.38,0.13,2024-08-05 10:00 AM
1924,10,1.21,14,1.19,1.21,2024-08-05 10:01 AM
1923,17,-0.35,-20,0.71,0.17,2024-08-05 10:02 AM
1922,0,-0.28,30,-0.29,-0.28,2024-08-05 10:03 AM
1921,0,-0.23,-3,-0.23,-0.23,2024-08-05 10:04 AM
1920,0,0.02,7,0.02,0.02,2024-08-05 10:05 AM
1919,9,-0.04,-7,-0.03,-0.03,2024-08-05 10:06 AM
1918,-6,-0.1,8,-0.1,-0.11,2024-08-05 10:07 AM
1917,5,-0.01,22,-0.02,-0.01,2024-08-05 10:08 AM
1916,-8,-0.06,-24,-0.05,-0.05,2024-08-05 10:09 AM
1915,9,-0.16,0,-0.15,-0.16,2024-08-05 10:10 AM
1914,4,-0.21,26,-0.23,-0.22,2024-08-05 10:11 AM
1913,-7,0.07,-65,0.09,0.08,2024-08-05 10:12 AM
1912,0,-0.39,65,-0.4,-0.39,2024-08-05 10:13 AM
1911,0,0.3,-17,0.3,0.29,2024-08-05 10:14 AM
1910,3,0.18,-30,0.19,0.19,2024-08-05 10:15 AM
1909,0,-0.19,21,-0.21,-0.2,2024-08-05 10:16 AM
1908,-3,-0.02,21,-0.02,-0.02,2024-08-05 10:17 AM
1907,58,0.13,18,0.13,0.13,2024-08-05 10:18 AM
1906,-83,0.04,-45,0.06,0.05,2024-08-05 10:19 AM
1905,32,0.0,24,-0.02,-0.01,2024-08-05 10:20 AM
1904,-7,-0.27,-5,-0.27,-0.27,2024-08-05 10:21 AM
1903,-31,-0.03,-36,-0.03,-0.03,2024-08-05 10:22 AM
1902,41,-0.21,-10,-0.2,-0.2,2024-08-05 10:23 AM
1901,-7,-0.18,36,-0.2,-0.2,2024-08-05 10:24 AM
1900,0,0.13,-12,0.15,0.14,2024-08-05 10:25 AM
1899,37,0.15,76,0.13,0.15,2024-08-05 10:26 AM
1898,-14,-0.08,-49,-0.08,-0.08,2024-08-05 10:27 AM
1897,-57,-0.28,-60,-0.25,-0.27,2024-08-05 10:28 AM
1896,114,-0.02,42,-0.05,-0.04,2024-08-05 10:29 AM
