Row Number,Volume,Close Price,Timestamp (EST)
4457,71614,520.8,2024-08-05 04:00:00
4456,28354,520.23,2024-08-05 04:01:00
4455,12695,519.93,2024-08-05 04:02:00
4454,8913,519.82,2024-08-05 04:03:00
4453,24633,520.46,2024-08-05 04:04:00
4452,14211,520.7,2024-08-05 04:05:00
4451,16952,521.15,2024-08-05 04:06:00
4450,4906,521.36,2024-08-05 04:07:00
4449,2840,521.4,2024-08-05 04:08:00
4448,7951,522.54,2024-08-05 04:09:00
4447,25388,522.65,2024-08-05 04:10:00
4446,10679,521.47,2024-08-05 04:11:00
4445,2508,521.58,2024-08-05 04:12:00
4444,2296,521.46,2024-08-05 04:13:00
4443,21921,521.7,2024-08-05 04:14:00
4442,20924,521.71,2024-08-05 04:15:00
4441,3653,521.89,2024-08-05 04:16:00
4440,10414,522.24,2024-08-05 04:17:00
4439,4411,522.53,2024-08-05 04:18:00
4438,6208,523.19,2024-08-05 04:19:00
4437,9497,523.1,2024-08-05 04:20:00
4436,5862,522.39,2024-08-05 04:21:00
4435,9411,522.35,2024-08-05 04:22:00
4434,7341,522.66,2024-08-05 04:23:00
4433,2354,521.88,2024-08-05 04:24:00
4432,6112,521.69,2024-08-05 04:25:00
4431,2192,522.05,2024-08-05 04:26:00
4430,3180,521.96,2024-08-05 04:27:00
4429,2288,521.63,2024-08-05 04:28:00
4428,459,521.54,2024-08-05 04:29:00
4427,1343,522.23,2024-08-05 04:30:00
4426,3452,521.71,2024-08-05 04:31:00
4425,987,521.64,2024-08-05 04:32:00
4424,10660,521.16,2024-08-05 04:33:00
4423,1624,521.22,2024-08-05 04:34:00
4422,4053,521.84,2024-08-05 04:35:00
4421,1958,521.51,2024-08-05 04:37:00
4420,1237,521.4,2024-08-05 04:38:00
4419,2778,521.39,2024-08-05 04:39:00
4418,669,521.19,2024-08-05 04:40:00
4417,7639,520.79,2024-08-05 04:41:00
4416,5155,521.13,2024-08-05 04:42:00
4415,3985,521.48,2024-08-05 04:43:00
4414,2514,521.12,2024-08-05 04:44:00
4413,2060,520.81,2024-08-05 04:45:00
4412,1170,520.69,2024-08-05 04:46:00
4411,3535,520.58,2024-08-05 04:47:00
4410,14862,521,2024-08-05 04:48:00
4409,3488,520.96,2024-08-05 04:49:00
4408,1553,521.09,2024-08-05 04:50:00
4407,14334,521.02,2024-08-05 04:51:00
4406,16109,520.5,2024-08-05 04:52:00
4405,14400,520.23,2024-08-05 04:53:00
4404,14258,520.07,2024-08-05 04:54:00
4403,5650,520,2024-08-05 04:55:00
4402,15291,519.96,2024-08-05 04:56:00
4401,6188,519.92,2024-08-05 04:57:00
4400,776,519.7,2024-08-05 04:58:00
4399,1966,519.94,2024-08-05 04:59:00
4398,3511,520.29,2024-08-05 05:00:00
4397,19843,520.63,2024-08-05 05:01:00
4396,2354,520.32,2024-08-05 05:02:00
