Row Number,Delta Volume,Delta Close Price,Timestamp (EST)
4457,0,0,2024-08-05 04:00:00
4456,-43260,-0.57,2024-08-05 04:01:00
4455,-15659,-0.3,2024-08-05 04:02:00
4454,-3782,-0.11,2024-08-05 04:03:00
4453,15720,0.64,2024-08-05 04:04:00
4452,-10422,0.24,2024-08-05 04:05:00
4451,2741,0.45,2024-08-05 04:06:00
4450,-12046,0.21,2024-08-05 04:07:00
4449,-2066,0.04,2024-08-05 04:08:00
4448,5111,1.14,2024-08-05 04:09:00
4447,17437,0.11,2024-08-05 04:10:00
4446,-14709,-1.18,2024-08-05 04:11:00
4445,-8171,0.11,2024-08-05 04:12:00
4444,-212,-0.12,2024-08-05 04:13:00
4443,19625,0.24,2024-08-05 04:14:00
4442,-997,0.01,2024-08-05 04:15:00
4441,-17271,0.18,2024-08-05 04:16:00
4440,6761,0.35,2024-08-05 04:17:00
4439,-6003,0.29,2024-08-05 04:18:00
4438,1797,0.66,2024-08-05 04:19:00
4437,3289,-0.09,2024-08-05 04:20:00
4436,-3635,-0.71,2024-08-05 04:21:00
4435,3549,-0.04,2024-08-05 04:22:00
4434,-2070,0.31,2024-08-05 04:23:00
4433,-4987,-0.78,2024-08-05 04:24:00
4432,3758,-0.19,2024-08-05 04:25:00
4431,-3920,0.36,2024-08-05 04:26:00
4430,988,-0.09,2024-08-05 04:27:00
4429,-892,-0.33,2024-08-05 04:28:00
4428,-1829,-0.09,2024-08-05 04:29:00
4427,884,0.69,2024-08-05 04:30:00
4426,2109,-0.52,2024-08-05 04:31:00
4425,-2465,-0.07,2024-08-05 04:32:00
4424,9673,-0.48,2024-08-05 04:33:00
4423,-9036,0.06,2024-08-05 04:34:00
4422,2429,0.62,2024-08-05 04:35:00
4421,-2095,-0.33,2024-08-05 04:37:00
4420,-721,-0.11,2024-08-05 04:38:00
4419,1541,-0.01,2024-08-05 04:39:00
4418,-2109,-0.2,2024-08-05 04:40:00
4417,6970,-0.4,2024-08-05 04:41:00
4416,-2484,0.34,2024-08-05 04:42:00
4415,-1170,0.35,2024-08-05 04:43:00
4414,-1471,-0.36,2024-08-05 04:44:00
4413,-454,-0.31,2024-08-05 04:45:00
4412,-890,-0.12,2024-08-05 04:46:00
4411,2365,-0.11,2024-08-05 04:47:00
4410,11327,0.42,2024-08-05 04:48:00
4409,-11374,-0.04,2024-08-05 04:49:00
4408,-1935,0.13,2024-08-05 04:50:00
4407,12781,-0.07,2024-08-05 04:51:00
4406,1775,-0.52,2024-08-05 04:52:00
4405,-1709,-0.27,2024-08-05 04:53:00
4404,-142,-0.16,2024-08-05 04:54:00
4403,-8608,-0.07,2024-08-05 04:55:00
4402,9641,-0.04,2024-08-05 04:56:00
4401,-9103,-0.04,2024-08-05 04:57:00
4400,-5412,-0.22,2024-08-05 04:58:00
4399,1190,0.24,2024-08-05 04:59:00
4398,1545,0.35,2024-08-05 05:00:00
4397,16332,0.34,2024-08-05 05:01:00
4396,-17489,-0.31,2024-08-05 05:02:00
4395,-1024,0.12,2024-08-05 05:03:00
4394,131,-0.18,2024-08-05 05:04:00
4393,7358,-0.27,2024-08-05 05:05:00
4392,-8049,0.24,2024-08-05 05:06:00
4391,9,-0.51,2024-08-05 05:07:00
4390,576,-0.32,2024-08-05 05:08:00
4389,3371,0.04,2024-08-05 05:09:00
4388,-1565,-0.03,2024-08-05 05:10:00
4387,-1001,-0.27,2024-08-05 05:11:00
4386,2465,0.1,2024-08-05 05:12:00
4385,1840,0.43,2024-08-05 05:13:00
4384,-4841,0.18,2024-08-05 05:14:00
4383,3071,-0.17,2024-08-05 05:15:00
4382,-3016,-0.05,2024-08-05 05:16:00
4381,-833,0.22,2024-08-05 05:17:00
4380,134,-0.42,2024-08-05 05:18:00
4379,6284,0.27,2024-08-05 05:19:00
4378,-6175,-0.04,2024-08-05 05:20:00
4377,212,0.21,2024-08-05 05:21:00
4376,1147,-0.4,2024-08-05 05:22:00
4375,-1142,-0.17,2024-08-05 05:23:00
4374,2867,-0.3,2024-08-05 05:24:00
4373,6362,0.4,2024-08-05 05:25:00
4372,-6857,0.36,2024-08-05 05:26:00
4371,-1739,-0.05,2024-08-05 05:27:00
4370,220,0.02,2024-08-05 05:28:00
4369,2492,0.27,2024-08-05 05:29:00
4368,-2055,0.41,2024-08-05 05:30:00
4367,6650,-0.28,2024-08-05 05:31:00
4366,244,-0.35,2024-08-05 05:32:00
4365,-7209,0.02,2024-08-05 05:33:00
4364,183,-0.11,2024-08-05 05:34:00
4363,3645,-0.22,2024-08-05 05:35:00
4362,5523,-0.75,2024-08-05 05:36:00
4361,6191,-0.22,2024-08-05 05:37:00
4360,-8577,0.23,2024-08-05 05:38:00
4359,680,-0.24,2024-08-05 05:39:00
4358,-4038,-0.16,2024-08-05 05:40:00
4357,-2592,0.56,2024-08-05 05:41:00
4356,718,-0.09,2024-08-05 05:42:00
4355,-706,-0.42,2024-08-05 05:43:00
4354,4129,-0.78,2024-08-05 05:44:00
4353,-1528,0.66,2024-08-05 05:45:00
4352,-1953,-0.13,2024-08-05 05:46:00
4351,502,0.11,2024-08-05 05:47:00
4350,-2693,-0.31,2024-08-05 05:48:00
4349,11755,0.25,2024-08-05 05:49:00
4348,-1544,0.12,2024-08-05 05:50:00
4347,514,0.4,2024-08-05 05:51:00
4346,-7122,0.27,2024-08-05 05:52:00
4345,-2400,0.45,2024-08-05 05:53:00
4344,-80,-0.35,2024-08-05 05:54:00
4343,-82,-0.16,2024-08-05 05:55:00
4342,2924,0.61,2024-08-05 05:56:00
4341,-544,0.35,2024-08-05 05:57:00
4340,4122,0.17,2024-08-05 05:58:00
4339,-3089,-0.03,2024-08-05 05:59:00
4338,-1204,-0.68,2024-08-05 06:00:00
4337,1400,0.11,2024-08-05 06:01:00
4336,-4173,-0.15,2024-08-05 06:02:00
4335,1537,0.2,2024-08-05 06:03:00
4334,5013,-0.48,2024-08-05 06:04:00
