Volume,Close Price,Timestamp (EST)
1026,541.96,2024-08-14 04:00:00
2382,542.01,2024-08-14 04:01:00
499,542.01,2024-08-14 04:02:00
868,542.09,2024-08-14 04:03:00
2704,541.89,2024-08-14 04:04:00
2421,542.02,2024-08-14 04:05:00
815,541.95,2024-08-14 04:06:00
476,542,2024-08-14 04:07:00
393,541.84,2024-08-14 04:08:00
467,541.79,2024-08-14 04:09:00
2490,541.74,2024-08-14 04:11:00
550,541.84,2024-08-14 04:12:00
397,541.82,2024-08-14 04:13:00
813,541.74,2024-08-14 04:14:00
787,541.65,2024-08-14 04:15:00
566,541.64,2024-08-14 04:16:00
604,542.04,2024-08-14 04:23:00
233,541.97,2024-08-14 04:25:00
748,541.94,2024-08-14 04:27:00
324,541.89,2024-08-14 04:28:00
108,542.12,2024-08-14 04:31:00
319,542.09,2024-08-14 04:35:00
200,542.04,2024-08-14 04:38:00
312,542.09,2024-08-14 04:40:00
350,541.99,2024-08-14 04:41:00
201,542.06,2024-08-14 04:43:00
201,542.06,2024-08-14 04:44:00
401,542.06,2024-08-14 04:45:00
397,542.08,2024-08-14 04:46:00
1282,541.99,2024-08-14 04:48:00
154,542.11,2024-08-14 04:51:00
511,542.05,2024-08-14 04:52:00
255,542.12,2024-08-14 04:54:00
419,542.04,2024-08-14 04:55:00
229,542.08,2024-08-14 04:56:00
143,542.13,2024-08-14 04:57:00
500,542.15,2024-08-14 05:01:00
216,542.17,2024-08-14 05:02:00
359,542.1,2024-08-14 05:05:00
222,542.16,2024-08-14 05:11:00
422,542.09,2024-08-14 05:14:00
648,542.08,2024-08-14 05:15:00
428,542.15,2024-08-14 05:17:00
641,542.05,2024-08-14 05:19:00
619,542.28,2024-08-14 05:21:00
1052,542.15,2024-08-14 05:25:00
145,542.15,2024-08-14 05:26:00
181,542.18,2024-08-14 05:27:00
348,542.16,2024-08-14 05:29:00
2151,542.16,2024-08-14 05:30:00
159,542.3,2024-08-14 05:38:00
150,542.19,2024-08-14 05:40:00
1147,542.19,2024-08-14 05:51:00
9208,542.1,2024-08-14 05:52:00
244,542.25,2024-08-14 05:53:00
1007,542.12,2024-08-14 05:57:00
248,542.12,2024-08-14 05:58:00
1078,542.15,2024-08-14 06:00:00
665,542.17,2024-08-14 06:01:00
278,542.21,2024-08-14 06:02:00
799,542.4,2024-08-14 06:04:00
1455,542.35,2024-08-14 06:05:00
542,542.35,2024-08-14 06:06:00
1026,542.39,2024-08-14 06:07:00
1042,542.33,2024-08-14 06:08:00
971,542.32,2024-08-14 06:11:00
323,542.28,2024-08-14 06:13:00
101,542.2,2024-08-14 06:15:00
190,542.13,2024-08-14 06:16:00
725,542.1,2024-08-14 06:18:00
100,542.15,2024-08-14 06:19:00
104,542.3,2024-08-14 06:26:00
344,542.31,2024-08-14 06:29:00
901,542.35,2024-08-14 06:30:00
901,542.27,2024-08-14 06:33:00
536,542.31,2024-08-14 06:34:00
1994,542.34,2024-08-14 06:36:00
152,542.37,2024-08-14 06:41:00
538,542.5,2024-08-14 06:46:00
626,542.45,2024-08-14 06:47:00
231,542.38,2024-08-14 06:48:00
320,542.35,2024-08-14 06:52:00
618,542.35,2024-08-14 06:53:00
402,542.32,2024-08-14 06:54:00
233,542.29,2024-08-14 06:55:00
343,542.23,2024-08-14 06:56:00
557,542.17,2024-08-14 06:57:00
1210,542.16,2024-08-14 06:58:00
1443,542.2,2024-08-14 06:59:00
7823,542.3,2024-08-14 07:00:00
2427,542.2,2024-08-14 07:01:00
4445,542.3,2024-08-14 07:02:00
3434,542.22,2024-08-14 07:03:00
906,542.251,2024-08-14 07:04:00
4338,542.2,2024-08-14 07:06:00
5108,542.23,2024-08-14 07:07:00
2160,542.18,2024-08-14 07:08:00
448,542.06,2024-08-14 07:10:00
161,542.12,2024-08-14 07:11:00
300,542.12,2024-08-14 07:12:00
2133,542.05,2024-08-14 07:13:00
